time,x_req,y_req,z_req,x_out,y_out,z_out,x_mag,y_mag,z_mag
0,1.0,2.0,3.0,0.990,1.995,3.000,999,999,999
1,1.0,2.0,3.0,0.990,1.995,3.000,999,999,999
2,1.0,2.0,3.0,0.990,1.995,3.000,999,999,999
3,1.0,2.0,3.0,0.990,1.995,3.000,999,999,999
4,1.0,2.0,3.0,0.990,1.995,3.000,999,999,999
5,1.0,2.0,3.0,0.990,1.995,3.000,999,999,999
6,1.0,2.0,3.0,0.990,1.995,3.000,999,999,999
7,1.0,2.0,3.0,0.990,1.995,3.000,999,999,999
8,1.0,2.0,3.0,0.990,1.995,3.000,999,999,999
9,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
10,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
11,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
12,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
13,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
14,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
15,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
16,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
17,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
18,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
19,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
20,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
21,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
22,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
23,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
24,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
25,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
26,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
27,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
28,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
29,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
30,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
31,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
32,4.0,5.0,6.0,3.990,4.995,6.000,999,999,999
